#G1           G2             G3             W2            W3
0.1105        -0.4316        -0.8200        0.2230        5.0078e-03
0.1067        -0.4206        -0.7919        0.2245        5.0059e-03
0.1099        -0.4085        -0.6378        0.2237        4.9962e-03
0.1109        -0.4199        -0.8456        0.2232        4.9933e-03
0.1482        -0.4192        -0.8577        0.2263        5.0011e-03
0.1306        -0.4243        -0.8525        0.2233        5.0058e-03
0.1291        -0.4262        -0.8817        0.2259        5.0074e-03
0.1296        -0.4191        -0.8612        0.2293        5.0027e-03
0.1325        -0.4302        -0.8953        0.2310        5.0154e-03
0.1404        -0.4481        -0.9644        0.2322        5.0254e-03
0.1583        -0.4350        -1.0000        0.2403        5.0372e-03
0.1766        -0.4112        -0.9911        0.2478        5.0314e-03
0.1701        -0.4083        -1.0000        0.2476        5.0296e-03
0.1571        -0.4057        -0.9194        0.2465        5.0118e-03
0.1558        -0.4147        -0.9479        0.2447        5.0211e-03
0.0566        -0.3922        -0.8773        0.1831        5.0132e-03
0.0534        -0.4179        -0.7453        0.1675        5.0100e-03
0.0461        -0.4038        -0.8561        0.1675        5.0126e-03
0.0514        -0.4497        -0.7420        0.1521        4.9846e-03
0.0666        -0.5004        -0.8153        0.1439        5.0009e-03
0.0465        -0.4931        -0.7670        0.1376        4.9996e-03
0.0450        -0.5241        -0.7825        0.1382        4.9980e-03
0.0551        -0.4945        -0.7053        0.1425        4.9972e-03
0.0562        -0.4958        -0.7045        0.1421        4.9985e-03
0.0535        -0.5068        -0.7361        0.1426        4.9992e-03
0.0545        -0.5205        -0.7637        0.1394        5.0002e-03
0.0778        -0.5176        -0.6757        0.1385        4.9981e-03
0.0582        -0.5349        -0.7255        0.1352        5.0003e-03
0.0662        -0.5241        -0.7250        0.1399        4.9993e-03
0.0756        -0.5098        -0.6798        0.1449        4.9979e-03
0.0802        -0.5282        -0.7451        0.1477        4.9995e-03
0.0744        -0.4979        -0.8184        0.1529        5.0004e-03
0.0572        -0.5052        -0.7818        0.1499        4.9991e-03
0.0585        -0.5060        -0.7894        0.1532        5.0015e-03
0.0894        -0.5238        -0.8507        0.1524        5.0094e-03
0.0934        -0.5243        -0.9265        0.1590        5.0119e-03
0.0859        -0.5395        -0.9352        0.1606        5.0131e-03
0.0930        -0.5005        -0.9436        0.1678        5.0125e-03
0.0699        -0.5257        -0.8774        0.1574        5.0034e-03
0.0649        -0.5234        -0.8543        0.1539        5.0025e-03
0.0730        -0.5465        -0.8542        0.1521        5.0072e-03
0.0916        -0.5307        -0.9568        0.1639        5.0123e-03
0.0802        -0.5438        -0.9767        0.1651        5.0157e-03
0.0845        -0.5203        -1.0000        0.1691        5.0246e-03
0.0815        -0.4953        -0.9964        0.1707        5.0057e-03
0.0900        -0.4666        -1.0000        0.1772        5.0116e-03
0.0771        -0.4802        -0.9942        0.1742        4.9842e-03
0.0860        -0.4904        -0.9935        0.1731        5.0007e-03
0.0719        -0.4706        -0.8371        0.1682        5.0111e-03
0.0706        -0.4590        -0.7823        0.1711        4.9972e-03
0.0908        -0.4898        -0.8616        0.1753        5.0006e-03
0.1195        -0.4703        -0.9893        0.1906        5.0167e-03
0.1022        -0.4883        -0.9215        0.1813        5.0070e-03
0.0965        -0.4815        -0.8966        0.1795        5.0053e-03
0.1147        -0.5043        -0.9429        0.1794        5.0243e-03
0.1195        -0.4646        -0.9146        0.1835        5.0042e-03
0.1042        -0.4543        -0.8793        0.1806        5.0049e-03
0.0929        -0.4356        -0.8269        0.1832        4.9901e-03
0.0818        -0.4543        -0.7786        0.1757        4.9959e-03
0.0885        -0.4725        -0.8030        0.1778        5.0018e-03
0.0925        -0.4818        -0.8184        0.1735        5.0005e-03
0.0831        -0.4777        -0.8122        0.1739        5.0014e-03
0.0943        -0.5289        -0.8580        0.1658        5.0038e-03
0.0858        -0.5265        -0.8627        0.1651        5.0048e-03
0.0891        -0.5338        -0.8624        0.1649        5.0085e-03
0.0921        -0.5288        -0.9207        0.1698        5.0043e-03
0.0902        -0.5171        -1.0000        0.1670        5.0195e-03
0.0792        -0.4940        -0.9792        0.1682        5.0020e-03
0.0951        -0.5002        -1.0000        0.1725        5.0203e-03
0.0628        -0.5233        -0.8715        0.1610        5.0032e-03
0.0707        -0.5224        -0.8932        0.1645        5.0111e-03
0.0730        -0.5315        -0.9347        0.1665        5.0104e-03
0.0650        -0.5252        -0.9050        0.1617        5.0015e-03
0.0607        -0.4982        -0.8994        0.1647        5.0016e-03
0.0675        -0.5037        -0.9085        0.1695        4.9972e-03
0.0675        -0.4853        -0.8165        0.1683        5.0018e-03
0.0701        -0.4965        -0.8275        0.1639        5.0005e-03
0.1024        -0.4884        -0.8051        0.1633        4.9996e-03
0.0944        -0.5037        -0.7838        0.1600        4.9984e-03
0.0935        -0.5188        -0.8104        0.1573        5.0025e-03
0.0941        -0.5211        -0.8217        0.1593        5.0045e-03
0.0886        -0.5142        -0.8482        0.1584        5.0024e-03
0.0700        -0.5005        -0.8256        0.1533        5.0001e-03
0.0743        -0.5250        -0.8049        0.1489        5.0020e-03
0.0772        -0.5254        -0.8034        0.1482        5.0011e-03
0.0819        -0.5222        -0.8079        0.1535        5.0024e-03
0.0848        -0.5281        -0.8232        0.1559        5.0024e-03
0.0706        -0.5184        -0.8081        0.1546        5.0003e-03
0.0621        -0.5103        -0.8100        0.1557        5.0020e-03
0.0449        -0.5043        -0.7857        0.1525        4.9994e-03
0.0650        -0.5059        -0.8021        0.1516        5.0018e-03
0.0937        -0.4937        -0.7488        0.1555        4.9981e-03
0.1105        -0.4852        -0.6064        0.1572        4.9949e-03
0.1144        -0.4757        -0.6688        0.1611        4.9958e-03
0.1078        -0.4711        -0.7776        0.1650        4.9988e-03
0.1034        -0.4758        -0.7686        0.1595        4.9950e-03
0.0862        -0.5105        -0.7970        0.1554        5.0031e-03
0.1083        -0.5037        -0.8319        0.1579        5.0022e-03
0.1203        -0.4798        -0.8332        0.1674        4.9997e-03
0.0894        -0.5205        -0.8736        0.1604        5.0068e-03
0.0808        -0.5162        -0.8587        0.1589        5.0026e-03
0.0761        -0.4944        -0.8331        0.1619        5.0001e-03
0.0757        -0.4769        -0.8157        0.1650        5.0035e-03
0.0654        -0.4826        -0.8087        0.1587        5.0010e-03
0.0765        -0.4890        -0.8242        0.1577        5.0007e-03
0.0960        -0.5091        -0.8850        0.1624        5.0042e-03
0.0902        -0.4979        -0.8512        0.1588        5.0019e-03
0.1044        -0.4864        -0.9025        0.1704        5.0069e-03
0.1040        -0.4781        -0.9660        0.1742        5.0083e-03
0.1044        -0.4730        -0.9517        0.1770        5.0091e-03
0.1218        -0.4699        -1.0000        0.1867        5.0225e-03
0.1118        -0.4555        -0.9645        0.1886        4.9954e-03
0.1191        -0.4666        -0.9977        0.1868        5.0074e-03
0.1055        -0.4627        -0.9501        0.1842        5.0220e-03
0.0923        -0.4660        -0.8782        0.1750        5.0072e-03
0.0937        -0.4479        -0.7803        0.1751        5.0092e-03
0.0935        -0.4684        -0.8394        0.1746        5.0034e-03
0.0819        -0.4420        -0.7610        0.1755        5.0021e-03
0.0519        -0.4125        -0.9126        0.1783        4.9995e-03
0.0524        -0.4111        -0.7685        0.1698        5.0291e-03
0.0707        -0.4718        -0.8964        0.1645        4.9896e-03
0.0595        -0.4639        -0.8428        0.1649        4.9974e-03
0.0774        -0.4809        -0.8916        0.1700        5.0038e-03
0.0728        -0.4703        -0.8000        0.1681        5.0038e-03
0.0826        -0.4806        -0.8222        0.1705        4.9968e-03
0.0857        -0.5001        -0.7994        0.1668        4.9928e-03
0.0881        -0.4855        -0.7934        0.1702        4.9991e-03
0.0953        -0.4871        -0.8226        0.1713        5.0009e-03
0.0781        -0.5072        -0.8139        0.1657        5.0023e-03
0.0642        -0.4841        -0.7698        0.1635        4.9977e-03
0.0380        -0.4197        -0.8727        0.1709        5.0059e-03
0.0671        -0.4238        -0.8310        0.1698        5.0246e-03
0.0644        -0.4218        -0.7745        0.1698        5.0183e-03
0.0645        -0.4391        -0.8265        0.1671        5.0081e-03
0.0456        -0.4382        -0.7961        0.1675        5.0073e-03
0.0700        -0.4407        -0.8120        0.1779        4.9958e-03
0.1138        -0.4271        -0.8666        0.2062        4.9999e-03
0.1056        -0.4126        -0.8052        0.2064        5.0007e-03
0.1098        -0.4007        -0.9016        0.2172        5.0122e-03
0.0976        -0.4108        -0.8244        0.2141        5.0076e-03
0.0750        -0.4019        -0.9339        0.2098        4.9959e-03
0.0709        -0.4211        -0.8610        0.1972        4.9927e-03
0.0747        -0.4643        -0.8317        0.1852        4.9598e-03
0.0954        -0.4592        -0.8638        0.1884        4.9937e-03
0.0834        -0.4662        -0.8657        0.1801        5.0000e-03
0.1021        -0.4895        -0.9246        0.1803        5.0103e-03
0.1084        -0.4674        -0.9514        0.1855        5.0220e-03
0.1107        -0.4720        -0.9600        0.1833        5.0110e-03
0.1123        -0.4824        -0.9962        0.1839        5.0112e-03
0.1207        -0.4854        -0.9993        0.1850        5.0179e-03
0.1106        -0.4965        -1.0000        0.1839        5.0269e-03
0.1130        -0.4971        -0.9744        0.1855        5.0187e-03
0.1286        -0.4897        -1.0000        0.1892        5.0295e-03
0.1162        -0.4868        -1.0000        0.1888        5.0216e-03
0.1204        -0.4844        -1.0000        0.1883        5.0205e-03
0.1230        -0.4557        -0.9728        0.1959        5.0172e-03
0.1206        -0.4490        -0.9872        0.2006        5.0240e-03
0.1191        -0.4698        -1.0000        0.2001        5.0222e-03
0.1120        -0.4660        -1.0000        0.2011        5.0249e-03
